material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,is_metal,is_stable,nsites,density,nelements,elements,chemsys,key
mp-1214982,AgC6,0.0,1.388995832619043,1.388995832619047,True,False,7,1.755440770114115,2,"['Ag', 'C']",Ag-C,AgC6
mp-1201374,Cs2CaAg2H4C6S6(N3O)2,3.2679,-0.630738347677367,0.113708885466953,False,False,58,2.286724010169966,8,"['Ag', 'C', 'Ca', 'Cs', 'H', 'N', 'O', 'S']",Ag-C-Ca-Cs-H-N-O-S,Cs2CaAg2H4C6S6(N3O)2
mp-568978,RbCdAg3(CN)6,2.802499999999999,0.123843742794117,0.274536576323527,False,False,17,2.956583565703761,5,"['Ag', 'C', 'Cd', 'N', 'Rb']",Ag-C-Cd-N-Rb,RbCdAg3(CN)6
mp-556201,AgSbC2N2(ClF3)2,3.6368,-1.378304703690475,0.142732057738094,False,False,28,2.415323109677272,6,"['Ag', 'C', 'Cl', 'F', 'N', 'Sb']",Ag-C-Cl-F-N-Sb,AgSbC2N2(ClF3)2
mp-567645,Ag2H12C6N3Cl,3.5031,-0.116943085347222,0.239637753090277,False,False,96,2.239614795293155,5,"['Ag', 'C', 'Cl', 'H', 'N']",Ag-C-Cl-H-N,Ag2H12C6N3Cl
mp-1200476,AgH14C3S3N6ClO,3.0284,-0.513272579367816,0.029766884741383,False,False,58,1.874401563921566,7,"['Ag', 'C', 'Cl', 'H', 'N', 'O', 'S']",Ag-C-Cl-H-N-O-S,AgH14C3S3N6ClO
mp-1202475,AgH24C9S3N6ClO4,3.3139,-0.307510830607637,0.301320767473962,False,False,96,1.599469160754888,7,"['Ag', 'C', 'Cl', 'H', 'N', 'O', 'S']",Ag-C-Cl-H-N-O-S,AgH24C9S3N6ClO4
mp-1215002,Ag2H8C2S2N5ClO3,2.4575,-0.5539089868840591,0.187750506981244,False,False,46,2.575937398817746,7,"['Ag', 'C', 'Cl', 'H', 'N', 'O', 'S']",Ag-C-Cl-H-N-O-S,Ag2H8C2S2N5ClO3
mp-1201812,AgH4CSN2Cl,2.6044,-0.483836554541667,0.043053044068275,False,False,80,2.665209957772459,6,"['Ag', 'C', 'Cl', 'H', 'N', 'S']",Ag-C-Cl-H-N-S,AgH4CSN2Cl
mp-1202929,AgH8C2S2N4Cl,0.0,-0.452294893425926,0.024224651750002,True,False,144,2.013170921322535,6,"['Ag', 'C', 'Cl', 'H', 'N', 'S']",Ag-C-Cl-H-N-S,AgH8C2S2N4Cl
