formula,p_metal,pred_bandgap,p_stable,gap_score,score,uncertainty
Na3(VS)2,0.4225,1.5650785071775295,0.7247436547074702,0.8276567986405243,0.5998390130902184,0.7449589341613295
Li(TiS)2,0.44,1.737155333386527,0.6244967677847935,0.9332451867011539,0.5828086026455866,0.7449589341613295
Na2VO2,0.3675,1.7640604911744036,0.6001647184038111,0.94585362549313,0.5676679747953082,0.7449589341613295
Na2TiO2,0.38,2.0446739091398984,0.5505203711031517,0.9980062320432657,0.5494227612277167,0.7449589341613295
Li2NiS2,0.28,1.6223397527124288,0.6310840388777019,0.8670772009611166,0.5471985820013143,0.7449589341613295
Na3V2O2,0.34,1.6339515965498435,0.6194256230245286,0.8745975566639237,0.5417481364322814,0.7449589341613295
Na3Mn2PO4,0.22,1.7735998133589532,0.5667489968504641,0.9500344380068102,0.5384310647137541,0.7449589341613295
Na2CrS2,0.295,1.8146645265001071,0.5538547337599947,0.966234000330214,0.5351532750027453,0.7449589341613295
Li2FeS2,0.3875,1.4533047160549242,0.7135429152258994,0.7416515661622987,0.5292002206013006,0.7449589341613295
Na(TiS)2,0.4075,1.7001545926673682,0.5739452670135345,0.9140159395947637,0.5245951225053433,0.7449589341613295
Na3(CuO)2,0.0725,1.327461110834808,0.7941314756082708,0.6361578482016204,0.5051929707121351,0.7449589341613295
Na3(CrS)2,0.4075,1.3579447712093824,0.7469714333090807,0.662168703215177,0.494621105333056,0.7449589341613295
Na2NiS2,0.2475,1.5466210990713423,0.5939044958465193,0.8141974068634191,0.48355550044276224,0.7449589341613295
Na2CrO2,0.31,1.7100438329176928,0.5229590495959179,0.9193626885455168,0.48078903783571136,0.7449589341613295
Na2CuO2,0.1825,1.3279602235282855,0.7525773130658564,0.6365849146519833,0.47907936460704714,0.7449589341613295
Na3(MnS)2,0.33,1.2329701886522482,0.860183693647156,0.5552511575372294,0.4776179915922329,0.7449589341613295
Li3(NiS)2,0.35,1.4403533099348853,0.6295397262695449,0.7311004474201979,0.46025677554445316,0.7449589341613295
Na3Cr2O2,0.3175,1.2525045302731996,0.792402391480716,0.5719238205878902,0.4531938031786321,0.7449589341613295
Li3V2O2,0.4325,1.6242953230032455,0.5117275335257586,0.8683555708927885,0.4443614545163187,0.7449589341613295
Na3(NiS)2,0.2975,1.2892159549567517,0.7104536293882707,0.6033764639786464,0.42867099872109055,0.7449589341613295
Na3Mn2O2,0.27,1.1850185147364027,0.8183345484921923,0.5146877765353469,0.4211867892255035,0.7449589341613295
Li3Cr2O2,0.3775,1.3568090427929393,0.6058355311631267,0.6612028468703913,0.40058017794029505,0.7449589341613295
Li3(CuO)2,0.2025,1.2744859092702765,0.6633934674363396,0.5907450773407789,0.3918964252280479,0.7449589341613295
Na3Cu2PO4,0.19,1.1794971990632006,0.7616787504428378,0.5100610541827337,0.38850266639946124,0.7449589341613295
Na2FeS2,0.37,1.4431522796251224,0.523808887790074,0.7333887348118526,0.384155537499566,0.7449589341613295
Li(VS)2,0.4675,1.2498028421597491,0.6553846890008495,0.5696143217768311,0.37331650512813824,0.7449589341613295
Na2CuPO4,0.135,1.3483113389298464,0.5196650343599393,0.6539671808521197,0.3398438775077894,0.7449589341613295
Li(MnS)2,0.41,1.1943731883605309,0.6457361205080416,0.5225500241988978,0.3374294253975796,0.7449589341613295
Li2CoS2,0.3675,1.2554580134282203,0.5791736786087393,0.5744496828545783,0.3327061359945097,0.7449589341613295
Li3Mn2O2,0.35,1.231084637960629,0.5743985236028726,0.5536454195938141,0.3180131116141797,0.7449589341613295
LiCu3S2,0.2325,1.231932528855258,0.529837214547722,0.5543673971802049,0.29372447755803044,0.7449589341613295
Na3(NiO)2,0.215,1.0800796549661285,0.6565057204439844,0.42901927061811646,0.28165360534149925,0.7449589341613295
Na(VS)2,0.46,1.1447944924049855,0.5692579310364131,0.48124611784856997,0.2739531693657828,0.7449589341613295
Li(CuS)2,0.23,1.1701010150257702,0.5247611448987783,0.5022123075649022,0.2635415055000155,0.7449589341613295
NaCu3S2,0.2175,1.116138062771598,0.5651697274775187,0.4578507945294289,0.2587634087695627,0.7449589341613295
